px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	3.04035	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	6.95323e-310	R
8.44885	0.251376	1.54356	-0.0213408	2.9832e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0.00322705	L
8.47032	0.246349	0.805409	-0.0401212	-0.000914596	8.56759	0.241943	8.45	0.25	0	0	0.130374	R
8.47296	0.249332	0.761928	-0.0164764	0.000711888	8.45582	0.253997	8.45	0.25	0	0	0.0276463	L
8.33531	0.252459	-1.07815	-0.0118351	-0.000732799	8.42544	0.254042	8.35	0.25	-1.81979	0	4.57662	R
8.28142	0.250891	-1.11177	-0.00794925	0.000743362	8.23962	0.24916	8.25	0.25	-1.81978	0	0.117768	L
8.04625	0.238367	-1.9379	0.249371	0.0708623	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	15.4575	R
7.94322	0.201809	-2.01165	0.33685	0.10416	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0.813188	L
7.74088	0.286677	-2.34119	-0.720251	-0.29567	7.61269	0.155818	7.7	0.15	-2.99982	0	6.46497	R
7.61891	0.232139	-2.42947	-0.242535	-0.116942	7.54016	0.159641	7.55	0.15	-2.99982	0	1.05931	L
7.50947	0.218903	-2.39242	-0.146151	-0.088776	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0.405571	R
7.37236	0.128918	-2.34902	0.102154	0.0294098	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0.918027	L
7.20906	0.125488	-2.55663	0.0573846	-0.0885741	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	2.5254	R
7.06811	0.0323498	-2.55293	0.205259	0.0624334	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0.666465	L
6.9665	-0.099903	-2.41162	0.445754	0.558856	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	4.05162	R
6.85272	-0.20121	-2.4219	0.548125	0.667389	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0.259386	L
6.74171	-0.265063	-2.44177	0.549521	0.537688	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.349289	R
6.64219	-0.370537	-2.46463	0.629708	0.605177	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0.544584	L
6.60189	-0.545485	-2.47945	0.98546	1.46474	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.67243	R
6.54222	-0.650742	-2.47613	1.06167	1.47159	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.0175873	L
6.50019	-0.806606	-2.51615	1.25023	1.72356	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.672673	R
6.46279	-0.96102	-2.53793	1.35708	1.7211	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0.463834	L
6.34847	-1.04308	-2.43331	1.15541	1.04465	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	9.33	R
6.29001	-1.18085	-2.45373	1.21087	1.02812	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0.324674	L
6.3883	-1.38101	-2.55052	1.62083	1.75342	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	24.5993	R
6.39354	-1.54224	-2.58032	1.71476	1.73506	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0.746315	L
6.32529	-1.64304	-2.46624	1.58633	1.3027	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	14.2812	R
6.31195	-1.7954	-2.50662	1.6365	1.26619	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	1.5237	L
6.36415	-1.94801	-2.57731	1.79088	1.43485	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	4.714	R
6.38311	-2.09826	-2.61058	1.84974	1.40718	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	1.11505	L
6.36969	-2.23859	-2.56492	1.82628	1.22021	6.32593	-2.40018	6.35	-2.4	0	-2.72613	5.92114	R
6.39191	-2.40287	-2.60008	1.8739	1.18641	6.34927	-2.55175	6.35	-2.55	0	-2.72611	1.29448	L
6.43985	-2.55387	-2.62871	1.94478	1.19811	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.820483	R
6.47752	-2.71387	-2.65892	1.98864	1.16488	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	1.02136	L
